baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	groups	transporter	p_total_adj
255.206655626287	-0.0605560193715088	0.337614225212796	-0.179364537537898	0.857651474742785	0.870500396056176	early-summer vs early-spring	T534	0.915407025925895
351.183541566803	-0.149418556072225	0.305863812633339	-0.488513351042751	0.625186271288554	0.732361060652306	early-summer vs early-spring	T37	0.748034157281052
141.256615526342	-0.196792822355836	0.386216185835404	-0.509540587819135	0.610373356203972	0.732361060652306	early-summer vs early-spring	T42	0.735807711597329
728.670288949834	0.162143944078665	0.233588629943534	0.694143135810423	0.487592449330016	0.689354842156229	early-summer vs early-spring	T7	0.632635772864894
594.594893579576	0.662824411985217	0.295673969051248	2.24174084080541	0.0249781266853066	0.102410319409757	early-summer vs early-spring	T71	0.0676720172311171
707.966233661565	0.312907053372604	0.336304974518451	0.930426479182028	0.352150313954105	0.577526514884732	early-summer vs early-spring	T56	0.50365684437622
118.898375128019	-0.853546227078829	0.481751863953717	-1.77175490318566	0.0764352514853224	0.223846093635587	early-summer vs early-spring	T72	0.160391871118987
107.461437784637	0.542014395774267	0.468263587308343	1.15749849115934	0.247068755398145	0.506490948566197	early-summer vs early-spring	T54	0.391616712808915
1706.31390947088	-0.113133309630355	0.194160421256344	-0.582679564137266	0.560109032823972	0.732361060652306	early-summer vs early-spring	T5	0.698716136281426
114.261965027139	0.406621532330715	0.720479373420057	0.564376368473279	0.572498018020031	0.732361060652306	early-summer vs early-spring	T652	0.702970540220465
73.6616609304951	0.635438367848321	0.716810226780637	0.886480611056883	0.375358597650201	0.580328981260786	early-summer vs early-spring	T112	0.529462242098334
286.487012308271	0.88129391458628	0.317121284038775	2.77904372536068	0.00545191858222192	0.0498339710460856	early-summer vs early-spring	T67	0.021087609610481
420.819452863538	-0.309169041541665	0.314751797956065	-0.98226298800943	0.325970303517453	0.556865935175648	early-summer vs early-spring	T40	0.475051508680648
1070.45471736138	-0.606222863723842	0.23379603277626	-2.5929561615102	0.00951548988479469	0.0557335836109403	early-summer vs early-spring	T388	0.0321539905447732
742.518672580174	-0.127673290814886	0.280422851164815	-0.455288469839596	0.648901720221059	0.73902695914065	early-summer vs early-spring	T761	0.768929784076977
288.875814753437	0.406354217734466	0.375887008751086	1.08105416860404	0.27967301872985	0.510422994766109	early-summer vs early-spring	T12	0.426796294091459
114.48724185112	-0.401398930116998	0.479602361755749	-0.836941103975257	0.402625674298807	0.589559023080396	early-summer vs early-spring	T84	0.550838565928775
192.894846510852	1.57659461378006	0.492332634628184	3.2022955678547	0.00136337031711081	0.0186327276671811	early-summer vs early-spring	T758	0.00692952681837314
428.046836494888	-0.50151381540334	0.333626732176	-1.50321831866511	0.132782755178667	0.338785675557377	early-summer vs early-spring	T35	0.243765356522031
197.616946519711	0.973762101158884	0.54427739842561	1.78909156245623	0.0736000707979644	0.223846093635587	early-summer vs early-spring	T68	0.15662298803027
387.762532695417	-0.531779791462457	0.264196544394851	-2.01281887573705	0.0441336874079392	0.150790098643792	early-summer vs early-spring	T27	0.106024288108916
544.446044927348	-0.135928908232655	0.269861847294497	-0.503698131452858	0.614473521632956	0.732361060652306	early-summer vs early-spring	T724	0.738088312117711
72.8782695134627	-1.5499225764715	0.630787094910033	-2.45712473983406	0.0140054046665991	0.0659068101593874	early-summer vs early-spring	T901	0.0420162139997974
293.460435213272	0.899971771036197	0.368019622660346	2.44544506765826	0.0144673485715729	0.0659068101593874	early-summer vs early-spring	T728	0.0428171010304105
365.609523404244	-0.877250398679812	0.326945433714118	-2.6831706707575	0.00729277625064668	0.0498339710460856	early-summer vs early-spring	T60	0.0259251872494087
1457.45806499439	1.08091690502048	0.315765773927611	3.42316043811728	0.000618975321851234	0.0126889940979503	early-summer vs early-spring	T1059	0.00362542688512866
50.8397479978802	-0.664734627107936	0.593492736435744	-1.12003835312297	0.262697418702112	0.510422994766109	early-summer vs early-spring	T46	0.410048001273601
463.747327368775	0.0571843456690816	0.258311033333602	0.221377867337279	0.824798224229831	0.870500396056176	early-summer vs early-spring	T59	0.896203017493544
819.583726276377	-0.039402372284015	0.241698373431593	-0.163022910434136	0.870500396056176	0.870500396056176	early-summer vs early-spring	T133	0.921759142151462
201.649131066259	0.68925765982613	0.397089000045804	1.73577626110677	0.0826034031111314	0.225782635170426	early-summer vs early-spring	T48	0.168215539448165
159.521495461628	0.993565883575138	0.472997197209394	2.1005745688072	0.0356783284041697	0.132982860415542	early-summer vs early-spring	T1020	0.0891958210104243
148.23149103003	-0.411270686369688	0.470610477624569	-0.873908903273038	0.382167865708322	0.580328981260786	early-summer vs early-spring	T109	0.535383228725782
630.065054130012	0.365729819112632	0.295226979464689	1.23880893194714	0.21541626530579	0.466372125084218	early-summer vs early-spring	T3	0.355922956036941
246.321725469405	-0.589993050707476	0.400257092850849	-1.47403521697823	0.140472109377449	0.338785675557377	early-summer vs early-spring	T115	0.254181424618529
89.6106548070167	-0.102657221116865	0.574463357743557	-0.178701077680731	0.858172422939756	0.870500396056176	early-summer vs early-spring	T1013	0.915407025925895
268.112257169078	0.84861846367048	0.311684698853974	2.72268246337002	0.00647542640777466	0.0498339710460856	early-summer vs early-spring	T317	0.0241356802471601
138.567884905327	-0.456649182174866	0.428297417505895	-1.06619644086129	0.286334850722451	0.510422994766109	early-summer vs early-spring	T287	0.433733825601743
174.799212392032	-1.98229219620194	0.46614220573758	-4.2525481962427	2.11351710386386e-05	0.000866542012584181	early-summer vs early-spring	T445	0.000183072256179757
