	dataset	diversity	num_taxa	rank	sample	taxa	transporter	substrate_category	type	name	abbreviation
17	mg	2.7170706741609383	13	order	120806	Bacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
18	mg	2.9722329237139404	19	order	120813	Bacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
19	mg	2.348603891096559	13	order	120820	Bacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
20	mg	3.0987796799420195	16	order	120823	Bacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
21	mg	2.239081949064087	8	order	120828	Bacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
22	mg	2.296562528229147	8	order	120903	Bacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
23	mg	2.9482837040450307	20	order	120920	Bacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
24	mg	2.953964034177197	18	order	120924	Bacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
25	mg	2.808577042722218	19	order	121001	Bacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
26	mg	2.9929776790277622	13	order	121004	Bacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
27	mg	3.0541351180518066	16	order	121015	Bacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
28	mg	2.9724807643181457	15	order	121022	Bacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
29	mg	3.217386789540365	14	order	121028	Bacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
30	mg	2.819628338108176	14	order	121105	Bacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
31	mg	2.992598148686439	17	order	121128	Bacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
32	mg	3.2289177827209685	23	order	121220	Bacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
0	mg	-1	0	order	120314	Eukaryota	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
1	mg	-1	0	order	120322	Eukaryota	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
2	mg	-1	0	order	120328	Eukaryota	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
3	mg	-1	0	order	120403	Eukaryota	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
4	mg	-1	0	order	120416	Eukaryota	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
5	mg	-1	0	order	120419	Eukaryota	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
6	mg	-1	0	order	120423	Eukaryota	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
7	mg	-1	0	order	120516	Eukaryota	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
8	mg	-1	0	order	120531	Eukaryota	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
9	mg	-1	0	order	120604	Eukaryota	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
10	mg	-1	0	order	120613	Eukaryota	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
11	mg	-1	0	order	120619	Eukaryota	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
12	mg	-1	0	order	120628	Eukaryota	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
13	mg	-1	0	order	120705	Eukaryota	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
14	mg	-1	0	order	120709	Eukaryota	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
15	mg	-1	0	order	120717	Eukaryota	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
16	mg	-1	0	order	120802	Eukaryota	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
17	mg	-1	0	order	120806	Eukaryota	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
18	mg	-1	0	order	120813	Eukaryota	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
19	mg	-1	0	order	120820	Eukaryota	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
20	mg	-1	0	order	120823	Eukaryota	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
21	mg	-1	0	order	120828	Eukaryota	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
22	mg	-1	0	order	120903	Eukaryota	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
23	mg	-1	0	order	120920	Eukaryota	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
24	mg	-1	0	order	120924	Eukaryota	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
25	mg	-1	0	order	121001	Eukaryota	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
26	mg	-1	0	order	121004	Eukaryota	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
27	mg	-1	0	order	121015	Eukaryota	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
28	mg	-1	0	order	121022	Eukaryota	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
29	mg	-1	0	order	121028	Eukaryota	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
30	mg	-1	0	order	121105	Eukaryota	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
31	mg	-1	0	order	121128	Eukaryota	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
32	mg	-1	0	order	121220	Eukaryota	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
0	mg	-0.0	1	order	120314	Cyanobacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
1	mg	-0.0	1	order	120322	Cyanobacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
2	mg	-0.0	1	order	120328	Cyanobacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
3	mg	-1.0	0	order	120403	Cyanobacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
4	mg	-1.0	0	order	120416	Cyanobacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
5	mg	-0.0	1	order	120419	Cyanobacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
6	mg	-1.0	0	order	120423	Cyanobacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
7	mg	-1.0	0	order	120516	Cyanobacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
8	mg	-0.0	1	order	120531	Cyanobacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
9	mg	-0.0	1	order	120604	Cyanobacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
10	mg	-0.0	1	order	120613	Cyanobacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
11	mg	0.4347565143862546	2	order	120619	Cyanobacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
12	mg	-1.0	0	order	120628	Cyanobacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
13	mg	-1.0	0	order	120705	Cyanobacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
